Week,average_death,death_2020,excess_death
1,2552.6,2068,-484.5999999999999
2,2541.8,2239,-302.8000000000002
3,2495.8,2148,-347.8000000000002
4,2479.0,2349,-130.0
5,2429.6,2403,-26.59999999999991
6,2283.8,2310,26.199999999999818
7,2263.4,2271,7.599999999999909
8,2254.2,2129,-125.19999999999982
9,2248.0,2149,-99.0
10,2236.2,2017,-219.19999999999982
11,2171.8,2037,-134.80000000000018
12,2134.2,2013,-121.19999999999982
13,2109.4,2043,-66.40000000000009
14,2099.4,1999,-100.40000000000009
15,2044.2,1982,-62.200000000000045
16,2031.4,1983,-48.40000000000009
17,2025.4,1941,-84.40000000000009
18,1986.0,1853,-133.0
19,2001.6,1878,-123.59999999999991
20,1939.0,2047,108.0
21,1943.4,1847,-96.40000000000009
22,1925.4,1770,-155.4000000000001
23,1890.0,1877,-13.0
24,1909.0,1911,2.0
25,1933.4,1885,-48.40000000000009
26,1928.0,1871,-57.0
27,1872.4,2107,234.5999999999999
28,1908.4,2008,99.59999999999991
29,1848.8,1812,-36.799999999999955
30,1942.0,1951,9.0
31,1932.0,2125,193.0
32,1903.2,2022,118.79999999999995
33,1834.8,1934,99.20000000000005
34,1805.4,1872,66.59999999999991
35,1792.4,1896,103.59999999999991
36,1791.0,1922,131.0
37,1790.4,1884,93.59999999999991
38,1781.8,1818,36.200000000000045
39,1773.8,1804,30.200000000000045
40,1921.0,1965,44.0
41,1958.4,2032,73.59999999999991
42,2027.4,2109,81.59999999999991
43,2023.2,2330,306.79999999999995
44,2058.6,2681,622.4000000000001
45,2074.6,3196,1121.4
46,2096.6,3878,1781.4
47,2052.8,4323,2270.2
48,2071.8,4659,2587.2
49,2122.8,4652,2529.2
50,2165.6,4286,2120.4
51,2191.4,3853,1661.6
52,2328.2,3163,834.8000000000002
53,2121.0,2854.0,733.0
